"gene_short_name","id","WormCategory.1","WormCategory.2","WormCategory.3"
"Y65B4BL.7","WBGene00022039",NA,NA,NA
"acs-13","WBGene00022037","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid"
"Y65B4BL.6","WBGene00022038","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y65B4BL.1","WBGene00022033","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"psf-3","WBGene00022043","DNA","DNA: replication","DNA: replication"
"icd-2","WBGene00022042","Development","Development: somatic","Development: somatic"
"wwp-1","WBGene00007009","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: unassigned"
"ptr-21","WBGene00004235","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like"
"lpr-1","WBGene00002393","Transmembrane transport","Transmembrane transport: lipid","Transmembrane transport: lipid"
"Y65B4BR.1","WBGene00022040","Signaling","Signaling: lipid","Signaling: lipid: phospholipase B"
"ceh-9","WBGene00000434","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain"
"grl-16","WBGene00001725","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like"
"F56A6.5","WBGene00044427","Unassigned","Unassigned","Unassigned"
"F56A6.8","WBGene00235390",NA,NA,NA
"hum-7","WBGene00002040","Muscle function","Muscle function","Muscle function"
"eme-1","WBGene00018923","DNA","DNA: nuclease","DNA: nuclease"
"sago-2","WBGene00018921","Non-coding RNA","Non-coding RNA: small RNA","Non-coding RNA: small RNA: argonaute"
"Y65B4A.4","WBGene00022028",NA,NA,NA
"Y65B4A.6","WBGene00022029","Ribosome","Ribosome: EIF","Ribosome: EIF"
"vps-20","WBGene00022027","Trafficking","Trafficking: vesicle targeting/fusion","Trafficking: vesicle targeting/fusion: CHMP"
"Y65B4A.2","WBGene00022026","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: cathepsin"
"Y65B4A.7","WBGene00022030","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y65B4A.1","WBGene00022025",NA,NA,NA
"Y65B4A.8","WBGene00022031","Metabolism","Metabolism: lipid","Metabolism: lipid: CoA"
"Y65B4A.9","WBGene00022032",NA,NA,NA
"Y18H1A.14","WBGene00044461","Unassigned","Unassigned","Unassigned: Glycosyltransferase family A "
"Y18H1A.11","WBGene00021215","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid"
"hasp-2","WBGene00021214",NA,NA,NA
"Y18H1A.1","WBGene00021207",NA,NA,NA
"Y18H1A.4","WBGene00021210","Unassigned","Unassigned","Unassigned"
"Y18H1A.2","WBGene00021208","Unassigned","Unassigned","Unassigned"
"hgap-1","WBGene00021209","Signaling","Signaling: small GTPase","Signaling: small GTPase: unassigned"
"rec-1","WBGene00004332",NA,NA,NA
"pif-1","WBGene00004028","DNA","DNA: telomere","DNA: telomere"
"Y18H1A.15","WBGene00044434","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y18H1A.18","WBGene00236789",NA,NA,NA
"col-46","WBGene00000623","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"col-47","WBGene00000624",NA,NA,NA
"Y18H1A.9","WBGene00021213","Proteolysis general","Proteolysis general: carboxypeptidase","Proteolysis general: carboxypeptidase"
"Y18H1A.8","WBGene00021212",NA,NA,NA
"mps-3","WBGene00020282","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"T06A4.3","WBGene00020283","Proteolysis general","Proteolysis general: carboxypeptidase","Proteolysis general: carboxypeptidase"
"T06A4.1","WBGene00020281","Proteolysis general","Proteolysis general: carboxypeptidase","Proteolysis general: carboxypeptidase"
"zfh-2","WBGene00022518","Transcription factor","Transcription factor: ZF","Transcription factor: ZF"
"ZC123.1","WBGene00022517","Unassigned","Unassigned","Unassigned"
"ZC123.4","WBGene00022519","Cell cycle","Cell cycle: kinase","Cell cycle: kinase"
"Y95B8A.8","WBGene00022388","mRNA functions","mRNA functions: binding","mRNA functions: binding: ZF"
"pde-6","WBGene00022389","Metabolism","Metabolism: nucleotide","Metabolism: nucleotide"
"Y95B8A.6","WBGene00022386","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"him-19","WBGene00022390","mRNA functions","mRNA functions: processing","mRNA functions: processing: helicase"
"gpa-16","WBGene00001678","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: G alpha subunit"
"Y95B8A.4","WBGene00022385",NA,NA,NA
"Y95B8A.12","WBGene00022391","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rho/Rac"
"Y95B8A.2","WBGene00022383",NA,NA,NA
"nas-30","WBGene00003548","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase"
"mig-1","WBGene00003238","Signaling","Signaling: frizzled","Signaling: frizzled"
"cutl-20","WBGene00018787","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin"
"shc-1","WBGene00018788","Unassigned","Unassigned","Unassigned"
"hmbx-1","WBGene00018786","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain"
"C54G6.3","WBGene00016932","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"C54G6.2","WBGene00016931","Unassigned","Unassigned","Unassigned"
"madf-6","WBGene00016930","Unassigned","Unassigned","Unassigned: MADF domain"
"C54G6.8","WBGene00236808","Unassigned","Unassigned","Unassigned"
"spp-17","WBGene00005002","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"spp-23","WBGene00021335","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"mrpl-38","WBGene00021327","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"spd-1","WBGene00004952","Cell cycle","Cell cycle: meiotic/mitotic spindle","Cell cycle: meiotic/mitotic spindle"
"Y34D9A.3","WBGene00021329","Unassigned","Unassigned","Unassigned"
"Y34D9A.7","WBGene00021332","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: zinc finger"
"glrx-10","WBGene00021331","Stress response","Stress response: thioredoxin","Stress response: thioredoxin"
"Y34D9A.8","WBGene00021333","Metabolism","Metabolism: lipid","Metabolism: lipid: binding"
"vps-4","WBGene00021334","Trafficking","Trafficking: unassigned","Trafficking: unassigned"
"npr-23","WBGene00021328","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neuropeptide"
"gsa-1","WBGene00001745","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: G alpha subunit"
"R06A10.1","WBGene00019909","Transmembrane transport","Transmembrane transport: major facilitator","Transmembrane transport: major facilitator"
"R06A10.5","WBGene00044895","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"R06A10.4","WBGene00019911","Signaling","Signaling: S/T kinase","Signaling: S/T kinase"
"ZK993.2","WBGene00022838",NA,NA,NA
"ZK993.5","WBGene00236809",NA,NA,NA
"ceh-45","WBGene00022837","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain"
"Y48G8AL.10","WBGene00021689","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: zinc finger"
"aps-3","WBGene00000165","Trafficking","Trafficking: endocytosis","Trafficking: endocytosis: adaptin"
"rpl-17","WBGene00004429","Ribosome","Ribosome: subunit","Ribosome: subunit"
"Y48G8AL.7","WBGene00021687","Unassigned","Unassigned","Unassigned"
"haf-6","WBGene00001816","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC"
"smg-2","WBGene00004880","mRNA functions","mRNA functions: processing","mRNA functions: processing: NMD"
"Y48G8AL.5","WBGene00021686","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: methylation"
"herc-1","WBGene00021685","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: unassigned"
"Y48G8AL.16","WBGene00195068",NA,NA,NA
"Y48G8AL.12","WBGene00021690","Unassigned","Unassigned","Unassigned"
"Y48G8AL.13","WBGene00021691","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y48G8AL.15","WBGene00021692","Metabolism","Metabolism: nucleotide","Metabolism: nucleotide"
"grh-1","WBGene00001707","Transcription factor","Transcription factor: unassigned","Transcription factor: unassigned"
"Y48G8AR.2","WBGene00021693",NA,NA,NA
"Y48G8AR.3","WBGene00021694",NA,NA,NA
"dapk-1","WBGene00003400","Signaling","Signaling: unassigned","Signaling: unassigned"
"K12C11.5","WBGene00044896","Unassigned","Unassigned","Unassigned"
"K12C11.3","WBGene00019674",NA,NA,NA
"K12C11.6","WBGene00045052","Transmembrane transport","Transmembrane transport: solute carrier","Transmembrane transport: solute carrier"
"K12C11.7","WBGene00045053",NA,NA,NA
"smo-1","WBGene00004888","Protein modification","Protein modification: SUMO","Protein modification: SUMO"
"K12C11.1","WBGene00019673",NA,NA,NA
"Y92H12BL.1","WBGene00022363","Cell cycle","Cell cycle: kinase","Cell cycle: kinase"
"Y92H12BL.5","WBGene00022366","Metabolism","Metabolism: nucleotide","Metabolism: nucleotide"
"Y92H12BL.4","WBGene00022365",NA,NA,NA
"Y92H12BM.1","WBGene00022367",NA,NA,NA
"Y92H12BR.7","WBGene00022372","Metabolism","Metabolism: unassigned","Metabolism: unassigned"
"set-29","WBGene00022371","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase"
"Y92H12BR.2","WBGene00022368","Unassigned","Unassigned","Unassigned"
"Y92H12BR.3","WBGene00022369",NA,NA,NA
"mrpl-15","WBGene00022373","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"F37F2.2","WBGene00018159","Ribosome","Ribosome: signal recognition","Ribosome: signal recognition"
"spe-15","WBGene00004969","Muscle function","Muscle function","Muscle function"
"gst-25","WBGene00001773",NA,NA,NA
"F47G6.3","WBGene00018580","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"acs-16","WBGene00018579","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid"
"dyb-1","WBGene00001115","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: unassigned"
"Y92H12A.5","WBGene00022361","Unassigned","Unassigned","Unassigned"
"Y92H12A.4","WBGene00022360","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: integrator"
"Y92H12A.2","WBGene00022358","Proteolysis proteasome","Proteolysis proteasome: NEDD","Proteolysis proteasome: NEDD"
"src-1","WBGene00005077","Signaling","Signaling: Y kinase","Signaling: Y kinase"
"Y73E7A.3","WBGene00022270","Transmembrane transport","Transmembrane transport: solute carrier","Transmembrane transport: solute carrier"
"cpx-1","WBGene00022271","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: unassigned"
"Y73E7A.2","WBGene00022269","Transcription factor","Transcription factor: unassigned","Transcription factor: unassigned"
"Y73E7A.6","WBGene00022273","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"adpr-1","WBGene00044440","Unassigned","Unassigned","Unassigned"
"bre-4","WBGene00000269","Protein modification","Protein modification: carbohydrate","Protein modification: carbohydrate"
"Y73E7A.1","WBGene00022268","Unassigned","Unassigned","Unassigned"
"Y73E7A.8","WBGene00022274","Unassigned","Unassigned","Unassigned"
"mab-20","WBGene00003111","Unassigned","Unassigned","Unassigned"
"Y71G12B.18","WBGene00022156","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"pqn-88","WBGene00004168","Unassigned","Unassigned","Unassigned: prion domain"
"Y71G12B.33","WBGene00044358","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71G12B.22","WBGene00022157","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y71G12B.17","WBGene00022155","Signaling","Signaling: lipid","Signaling: lipid: unassigned"
"Y71G12B.23","WBGene00022158",NA,NA,NA
"Y71G12B.35","WBGene00185098",NA,NA,NA
"drag-1","WBGene00022154","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71G12B.31","WBGene00044348","Signaling","Signaling: phosphatase","Signaling: phosphatase: Y "
"ubc-3","WBGene00006702","Proteolysis proteasome","Proteolysis proteasome: E2","Proteolysis proteasome: E2"
"lsm-6","WBGene00003080","mRNA functions","mRNA functions: processing","mRNA functions: processing: LSM"
"Y71G12B.13","WBGene00022153","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"atg-5","WBGene00022152","Lysosome","Lysosome: autophagy","Lysosome: autophagy"
"tln-1","WBGene00006771","Cytoskeleton","Cytoskeleton: unassigned","Cytoskeleton: unassigned"
"mppa-1","WBGene00022159","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: protease"
"Y71G12B.10","WBGene00022150","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"lin-65","WBGene00022149","Development","Development: somatic","Development: somatic"
"ddx-27","WBGene00022148","mRNA functions","mRNA functions: processing","mRNA functions: processing: helicase"
"Y71G12B.25","WBGene00022160","Transmembrane transport","Transmembrane transport: major facilitator","Transmembrane transport: major facilitator"
"Y71G12B.26","WBGene00022161","Transmembrane transport","Transmembrane transport: major facilitator","Transmembrane transport: major facilitator"
"Y71G12B.6","WBGene00022146","Unassigned","Unassigned","Unassigned"
"Y71G12B.27","WBGene00022162","Cell cycle","Cell cycle: unassigned","Cell cycle: unassigned"
"Y71G12B.5","WBGene00022145",NA,NA,NA
"pghm-1","WBGene00022144","Protein modification","Protein modification: unassigned","Protein modification: unassigned"
"Y71G12B.3","WBGene00022143",NA,NA,NA
"Y71G12B.32","WBGene00044349","Unassigned","Unassigned","Unassigned"
"Y71G12B.2","WBGene00022142",NA,NA,NA
"Y71G12B.30","WBGene00044347","Signaling","Signaling: phosphatase","Signaling: phosphatase: unassigned"
"chaf-2","WBGene00022141","Transcription: chromatin","Transcription: chromatin modification","Transcription: chromatin modification: unassigned"
"C53H9.3","WBGene00044746","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"C53H9.2","WBGene00016907","Signaling","Signaling: small GTPase","Signaling: small GTPase: unassigned"
"rpl-27","WBGene00004441","Ribosome","Ribosome: subunit","Ribosome: subunit"
"egl-30","WBGene00001196","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: G alpha subunit"
"emr-1","WBGene00001309","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"nlp-12","WBGene00003750","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neuropeptide"
"tag-96","WBGene00006461","Metabolism","Metabolism: carbohydrate","Metabolism: carbohydrate"
"M01D7.9","WBGene00044897",NA,NA,NA
"scm-1","WBGene00004743","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"tub-2","WBGene00022139","Unassigned","Unassigned","Unassigned"
"Y71G12A.4","WBGene00022140","Metabolism","Metabolism: unassigned","Metabolism: unassigned"
"trpp-10","WBGene00022138","Trafficking","Trafficking: ER/Golgi","Trafficking: ER/Golgi: trafficking protein particle complex"
"Y51F10.7","WBGene00021768","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"hex-4","WBGene00021766","Metabolism","Metabolism: carbohydrate","Metabolism: carbohydrate"
"Y51F10.4","WBGene00021765","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid"
"Y51F10.15","WBGene00255420",NA,NA,NA
"spe-48","WBGene00021771","Unassigned","Unassigned","Unassigned"
"Y51F10.11","WBGene00044438","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y51F10.3","WBGene00021764","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y51F10.2","WBGene00021763","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: RING finger"
"gap-3","WBGene00021238","Signaling","Signaling: small GTPase","Signaling: small GTPase: Ras"
"crtc-1","WBGene00021237","Transcription: unassigned","Transcription: unassigned","Transcription: unassigned"
"Y20F4.4","WBGene00021239",NA,NA,NA
"Y20F4.8","WBGene00044435",NA,NA,NA
"Y37E3.1","WBGene00021346","Unassigned","Unassigned","Unassigned"
"rpb-10","WBGene00021347","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: subunit"
"moag-4","WBGene00021348","Unassigned","Unassigned","Unassigned"
"arl-13","WBGene00021349","Signaling","Signaling: small GTPase","Signaling: small GTPase: ARF"
"rla-1","WBGene00004409","Ribosome","Ribosome: subunit","Ribosome: subunit"
"Y37E3.8","WBGene00021350","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"phb-1","WBGene00004014","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"eif-2alpha","WBGene00021351","Ribosome","Ribosome: EIF","Ribosome: EIF"
"Y37E3.11","WBGene00021352","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid"
"iglr-3","WBGene00021353","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"npp-13","WBGene00003799","Nuclear pore","Nuclear pore: structure","Nuclear pore: structure"
"Y37E3.19","WBGene00044810","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"fpn-1.1","WBGene00021354","Transmembrane transport","Transmembrane transport: solute carrier","Transmembrane transport: solute carrier"
"Y37E3.17","WBGene00021355","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"Y37E3.30","WBGene00235158",NA,NA,NA
"afd-1","WBGene00021009","Cytoskeleton","Cytoskeleton: unassigned","Cytoskeleton: unassigned"
"W03F11.5","WBGene00021008","Unassigned","Unassigned","Unassigned"
"ule-1","WBGene00021005","Extracellular material","Extracellular material: PGI","Extracellular material: PGI"
"gcy-17","WBGene00001542","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: guanylyl cyclase"
"dct-9","WBGene00021006","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"W03F11.4","WBGene00021007",NA,NA,NA
"lgc-51","WBGene00017399","Transmembrane transport","Transmembrane transport: extracellular ligand gated channel","Transmembrane transport: extracellular ligand gated channel"
"slc-17.6","WBGene00017398","Transmembrane transport","Transmembrane transport: solute carrier","Transmembrane transport: solute carrier"
"abt-2","WBGene00000020","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC"
"Y39G10AL.1","WBGene00021458","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"cdk-7","WBGene00000408","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: TFIIH"
"Y39G10AR.11","WBGene00021469","Unassigned","Unassigned","Unassigned"
"tpxl-1","WBGene00021470","Cell cycle","Cell cycle: meiotic/mitotic spindle","Cell cycle: meiotic/mitotic spindle"
"epg-2","WBGene00021468","Lysosome","Lysosome: autophagy","Lysosome: autophagy"
"icp-1","WBGene00002047","Cell cycle","Cell cycle: meiotic/mitotic spindle","Cell cycle: meiotic/mitotic spindle"
"Y39G10AR.9","WBGene00021467","Proteolysis proteasome","Proteolysis proteasome: unassigned","Proteolysis proteasome: unassigned"
"nsun-4","WBGene00021476","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase"
"tbca-1","WBGene00021475","Cytoskeleton","Cytoskeleton: microtubule","Cytoskeleton: microtubule: tubulin modification"
"eif-2gamma","WBGene00021466","Ribosome","Ribosome: EIF","Ribosome: EIF"
"ekl-7","WBGene00021465","Development","Development: general","Development: general"
"mcm-4","WBGene00003156","DNA","DNA: replication","DNA: replication"
"Y39G10AR.32","WBGene00219275","Unassigned","Unassigned","Unassigned"
"Y39G10AR.15","WBGene00021471",NA,NA,NA
"srbc-64","WBGene00021477",NA,NA,NA
"Y39G10AR.16","WBGene00021472",NA,NA,NA
"ugt-31","WBGene00021464","Stress response","Stress response: detoxification","Stress response: detoxification: ugt"
"zeel-1","WBGene00021463",NA,NA,NA
"peel-1","WBGene00077563",NA,NA,NA
"nekl-1","WBGene00021461","Signaling","Signaling: S/T kinase","Signaling: S/T kinase"
"sydn-1","WBGene00021473","Unassigned","Unassigned","Unassigned"
"dot-1.1","WBGene00021474",NA,NA,NA
"zwl-1","WBGene00021460","Cell cycle","Cell cycle: chromosome dynamics","Cell cycle: chromosome dynamics: kinetochore protein"
"F23C8.13","WBGene00017741","Signaling","Signaling: MAGUK","Signaling: MAGUK"
"F23C8.5","WBGene00017734","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"did-2","WBGene00017735","Trafficking","Trafficking: vesicle targeting/fusion","Trafficking: vesicle targeting/fusion: CHMP"
"F23C8.7","WBGene00017736",NA,NA,NA
"F23C8.8","WBGene00017737","Signaling","Signaling: unassigned","Signaling: unassigned"
"tipn-1","WBGene00017738","DNA","DNA: repair","DNA: repair"
"ubxn-1","WBGene00017733","Proteolysis proteasome","Proteolysis proteasome: unassigned","Proteolysis proteasome: unassigned"
"F23C8.14","WBGene00255457",NA,NA,NA
"F23C8.3","WBGene00017732",NA,NA,NA
"inx-19","WBGene00002141","Cytoskeleton","Cytoskeleton: innexin","Cytoskeleton: innexin"
"Y74C10AL.2","WBGene00022280","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"abtm-1","WBGene00022281","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC"
"Y74C10AR.2","WBGene00022282","Unassigned","Unassigned","Unassigned"
"eif-3.I","WBGene00001232","Ribosome","Ribosome: EIF","Ribosome: EIF"
"Y23H5B.6","WBGene00021277","mRNA functions","mRNA functions: processing","mRNA functions: processing: helicase"
"Y23H5B.5","WBGene00021276","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"dmsr-2","WBGene00021275","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor:  dmsr"
"Y23H5B.3","WBGene00021274","Unassigned","Unassigned","Unassigned"
"Y23H5B.8","WBGene00021279","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"nspd-8","WBGene00021280",NA,NA,NA
"Y23H5B.1","WBGene00021272",NA,NA,NA
"Y23H5B.12","WBGene00194701",NA,NA,NA
"C55C2.4","WBGene00016950",NA,NA,NA
"C55C2.3","WBGene00016949",NA,NA,NA
"ssp-19","WBGene00006047",NA,NA,NA
"scrt-1","WBGene00016948","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: zinc finger"
"aat-5","WBGene00000006","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid"
"fbp-1","WBGene00001404","Metabolism","Metabolism: glycolysis","Metabolism: glycolysis"
"ptr-12","WBGene00004226","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like"
"K07A3.3","WBGene00019461","Proteolysis general","Proteolysis general: unassigned","Proteolysis general: unassigned"
"ctn-1","WBGene00000832","Unassigned","Unassigned","Unassigned"
"spe-47","WBGene00021271","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y23H5A.3","WBGene00021270","Cell cycle","Cell cycle: unassigned","Cell cycle: unassigned"
"Y23H5A.2","WBGene00021269","Unassigned","Unassigned","Unassigned"
"cars-1","WBGene00000800","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: production"
"Y23H5A.8","WBGene00023172",NA,NA,NA
"F40E3.3","WBGene00018231",NA,NA,NA
"mage-1","WBGene00018230","Unassigned","Unassigned","Unassigned"
"F40E3.5","WBGene00018232","Signaling","Signaling: phosphatase","Signaling: phosphatase: unassigned"
"F40E3.6","WBGene00018233",NA,NA,NA
"F32B5.6","WBGene00017979","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"F32B5.7","WBGene00017980","Muscle function","Muscle function","Muscle function"
"cpz-1","WBGene00000788","Development","Development: general","Development: general"
"msrp-1","WBGene00017978","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"F32B5.3","WBGene00017977",NA,NA,NA
"F32B5.2","WBGene00017976","Unassigned","Unassigned","Unassigned"
"F32B5.1","WBGene00017975",NA,NA,NA
"lin-17","WBGene00003006","Signaling","Signaling: frizzled","Signaling: frizzled"
"dnj-30","WBGene00001048","Chaperone","Chaperone: DnaJ domain","Chaperone: DnaJ domain"
"Y71F9B.6","WBGene00022128","Development","Development: general","Development: general"
"snr-7","WBGene00004920","mRNA functions","mRNA functions: processing","mRNA functions: processing: snRNP"
"yop-1","WBGene00022127","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71F9B.2","WBGene00022126","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: translocase"
"lron-11","WBGene00022129","Proteolysis general","Proteolysis general: carboxypeptidase","Proteolysis general: carboxypeptidase"
"plk-2","WBGene00004043","Cell cycle","Cell cycle: chromosome dynamics","Cell cycle: chromosome dynamics: kinase"
"Y71F9B.9","WBGene00022130","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation"
"sop-3","WBGene00004946","Signaling","Signaling: WNT","Signaling: WNT"
"Y71F9B.1","WBGene00022125","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71F9B.13","WBGene00022131","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y71F9B.15","WBGene00022133",NA,NA,NA
"W03D8.9","WBGene00020990",NA,NA,NA
"W03D8.14","WBGene00255550",NA,NA,NA
"W03D8.1","WBGene00020984",NA,NA,NA
"W03D8.8","WBGene00020989","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation"
"W03D8.7","WBGene00020988","Unassigned","Unassigned","Unassigned"
"W03D8.2","WBGene00020985","Signaling","Signaling: phosphatase","Signaling: phosphatase: unassigned"
"itx-1","WBGene00002174","Cytoskeleton","Cytoskeleton: unassigned","Cytoskeleton: unassigned"
"W03D8.5","WBGene00020987","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"W03D8.11","WBGene00044796","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"W03D8.3","WBGene00020986","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"pop-1","WBGene00004077","Transcription factor","Transcription factor: HMG box","Transcription factor: HMG box"
"W10C8.3","WBGene00021126",NA,NA,NA
"ccb-2","WBGene00021125","Transmembrane transport","Transmembrane transport: calcium channel","Transmembrane transport: calcium channel"
"W10C8.4","WBGene00021127","Stress response","Stress response: detoxification","Stress response: detoxification: GST"
"W10C8.5","WBGene00021128",NA,NA,NA
"W10C8.6","WBGene00044433","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71F9AL.11","WBGene00022116",NA,NA,NA
"Y71F9AL.10","WBGene00022115","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: RING finger"
"Y71F9AL.12","WBGene00022117","Unassigned","Unassigned","Unassigned"
"rpl-1","WBGene00004412","Ribosome","Ribosome: subunit","Ribosome: subunit"
"Y71F9AL.9","WBGene00022114","Unassigned","Unassigned","Unassigned"
"Y71F9AL.8","WBGene00022113","Unassigned","Unassigned","Unassigned"
"dnc-5","WBGene00022118","Cytoskeleton","Cytoskeleton: motor protein","Cytoskeleton: motor protein: dynein"
"arx-1","WBGene00000199","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: actin"
"Y71F9AL.7","WBGene00022112",NA,NA,NA
"Y71F9AL.6","WBGene00022111",NA,NA,NA
"copa-1","WBGene00022119","Trafficking","Trafficking: ER/Golgi","Trafficking: ER/Golgi: COP I"
"gst-43","WBGene00001791",NA,NA,NA
"Y71F9AL.4","WBGene00022110",NA,NA,NA
"parp-1","WBGene00004049","Metabolism","Metabolism: nicotinate and nicotinamide metabolism","Metabolism: nicotinate and nicotinamide metabolism"
"Y71F9AL.2","WBGene00022108",NA,NA,NA
"Y71F9AL.1","WBGene00022107","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: methylation"
